#No,SensorName,RasberryPiID,ArduinoID,温度(日時)
001,SENSOR001,28-00000646D190,2890D14606000004,26.19(2015/05/11 16:10)
002,SENSOR002,28-00000646EFF3,28F3EF46060000B8,26.62(2015/05/11 15:46)
003,SENSOR003,28-00000646EAD8,28D8EA4606000024,26.87(2015/05/11 15:46)
004,SENSOR004,28-00000646D2E7,28E7D24606000057,25.75(2015/05/11 16:17)
005,SENSOR005,28-00000647FDAE,28AEFD47060000AC,26.19(2015/05/11 16:11)
006,SENSOR006,28-000006473EBD,28BD3E47060000C2,26.12(2015/05/11 16:08)
007,SENSOR007,28-00000646C500,2800C546060000D6,25.87(2015/05/11 16:05)
008,SENSOR008,28-00000647816E,286E81470600007F,25.50(2015/05/11 16:04)
009,SENSOR009,28-0000064805D5,28D50548060000CE,26.12(2015/05/11 16:10)
010,SENSOR010,28-000006472420,28202447060000F8,25.62(2015/05/11 16:09)
011,SENSOR011,28-00000647339D,289D334706000098,25.94(2015/05/11 16:11)
012,SENSOR012,28-00000647F255,2855F24706000049,25.12(2015/05/11 16:03)
013,SENSOR013,28-000006470990,28900947060000EB,25.87(2015/05/11 16:13)
014,SENSOR014,28-000006479AC2,28C29A4706000052,25.81(2015/05/11 16:16)
015,SENSOR015,28-000006474B5C,285C4B4706000063,26.37(2015/05/11 16:07)
016,SENSOR016,28-0000064726BD,28BD264706000080,26.37(2015/05/11 16:15)
017,SENSOR017,28-00000646CB2C,282CCB46060000BF,26.00(2015/05/11 16:12)
018,SENSOR018,28-000006466D83,28836D4606000068,25.81(2015/05/11 16:06)
019,SENSOR019,28-00000646BA5D,285DBA46060000B0,25.62(2015/05/11 16:02)
020,SENSOR020,28-00000647F8D5,28D5F8470600001E,25.75(2015/05/11 16:15)
021,SENSOR021,28-00000646C2B6,28B6C24606000032,24.37(2015/05/11 16:01)
022,SENSOR022,28-00000647B375,2875B347060000DB,23.44(2015/05/12 9:51)
023,SENSOR023,28-000006475954,285459470600003D,25.62(2015/05/12 11:31)
024,SENSOR024,28-00000646838C,288C834606000034,25.69(2015/05/12 12:49)
025,SENSOR025,28-00000647817A,287A8147060000F8,25.37(2015/05/12 11:59)
026,SENSOR026,28-00000647CA77,2877CA470600002B,24.31(2015/05/12 11:50)
027,SENSOR027,28-00000646B5BC,28BCB546060000C1,26.19(2015/05/12 11:39)
028,SENSOR028,28-00000646CBA1,28A1CB460600001F,26.31(2015/05/12 9:58)
029,SENSOR029,28-00000647FFDF,28DFFF4706000080,25.87(2015/05/12 11:41)
030,SENSOR030,28-000006468A6A,286A8A460600005C,25.94(2015/05/12 11:43)
031,SENSOR031,28-00000647B6A9,28A9B647060000B0,25.75(2015/05/12 11:29)
032,SENSOR032,28-0000064702C4,28C4024706000069,25.37(2015/05/12 11:57)
033,SENSOR033,28-00000646F99F,289FF946060000E6,26.87(2015/05/12 9:54)
034,SENSOR034,28-00000647E49F,289FE447060000F9,25.06(2015/05/12 11:33)
035,SENSOR035,28-000006470882,2882084706000013,24.25(2015/05/12 9:30)
036,SENSOR036,28-00000646C92A,282AC9460600008E,24.75(2015/05/12 11:52)
037,SENSOR037,28-000006468D18,28188D46060000FB,25.12(2015/05/12 11:34)
038,SENSOR038,28-00000647C122,2822C1470600009E,25.69(2015/05/12 12:00)
039,SENSOR039,28-000006466B66,28666B4606000036,26.06(2015/05/12 11:37)
040,SENSOR040,28-000006478158,2858814706000020,24.44(2015/05/11 16:48)
041,SENSOR041,28-00000647B2CE,28CEB247060000E9,25.81(2015/05/12 11:20)
042,SENSOR042,28-00000647FA67,2867FA47060000F4,24.94(2015/05/12 11:36)
043,SENSOR043,28-00000647750D,280D75470600005C,25.44(2015/05/12 10:49)
044,SENSOR044,28-000006479BB9,28B99B47060000FF,27.25(2015/05/12 10:44)
045,SENSOR045,28-000006473827,2827384706000020,24.94(2015/05/12 11:48)
046,SENSOR046,28-000006468FC6,28C68F46060000AF,24.25(2015/05/12 10:35)
047,SENSOR047,28-00000647FDA2,28A2FD47060000D1,26.94(2015/05/12 10:51)
048,SENSOR048,28-000006477A87,28877A4706000016,25.56(2015/05/12 10:53)
049,SENSOR049,28-00000647DD4B,284BDD4706000096,28.87(2015/05/12 10:24)
050,SENSOR050,28-000006482AFB,28FB2A48060000FC,24.50(2015/05/12 10:40)
051,SENSOR051,28-000006464943,2843494606000010,26.81(2015/05/12 10:27)
052,SENSOR052,28-00000646B99A,289AB946060000E4,25.37(2015/05/12 10:54)
053,SENSOR053,28-000006468DB0,28B08D4606000006,24.62(2015/05/12 11:50)
054,SENSOR054,28-00000646B37B,287BB34606000047,25.50(2015/05/12 10:55)
055,SENSOR055,28-00000646F6F0,28F0F6460600006E,24.50(2015/05/12 10:38)
056,SENSOR056,28-00000647E8B9,28B9E847060000DC,26.06(2015/05/12 11:43)
057,SENSOR057,28-000006478060,28608047060000A1,26.00(2015/05/12 11:29)
058,SENSOR058,28-00000646CCD8,28D8CC4606000040,25.44(2015/05/12 10:51)
059,SENSOR059,28-00000647DCC5,28C5DC47060000A2,25.81(2015/05/12 11:28)
060,SENSOR060,28-000006480111,2811014806000092,26.69(2015/05/12 10:27)
061,SENSOR061,28-000006474A1C,281C4A47060000DB,25.50(2015/05/12 11:44)
062,SENSOR062,28-00000647E649,2849E6470600000C,25.31(2015/05/12 11:56)
063,SENSOR063,28-00000647E483,2883E447060000DF,24.69(2015/05/12 11:32)
064,SENSOR064,28-00000647D2AB,28ABD247060000D0,25.62(2015/05/12 10:52)
065,SENSOR065,28-00000646F15A,285AF146060000AC,26.87(2015/05/12 10:55)
066,SENSOR066,28-00000647EC76,2876EC4706000078,24.81(2015/05/12 10:38)
067,SENSOR067,28-00000646B263,2863B24606000070,24.37(2015/05/12 10:39)
068,SENSOR068,28-0000064691C2,28C29146060000AD,25.56(2015/05/12 13:02)
069,SENSOR069,28-0000064D08B8,28B8084D0600002A,26.00(2015/05/12 10:31)
070,SENSOR070,28-00000648114B,284B11480600000F,26.31(2015/05/12 10:30)
071,SENSOR071,28-0000064807B6,28B60748060000D7,25.19(2015/05/12 10:34)
